Datum Uhrzeit	Tre	Qr	Qcv	Th_PVT_mess	Th_DIN	Th_Swin
01042016 0000		19.05	31.87		-5.97	-6.51
01042016 0015		18.75	31.38		-5.97	-6.51
01042016 0030		18.47	30.91		-5.97	-6.51
01042016 0045		16.56	27.78		-5.97	-6.51
01042016 0100		23.74	46.06		-8.63	-9.17
01042016 0115		21.37	41.58		-8.63	-9.17
01042016 0130		26.34	82.29		-11.29	-11.82
01042016 0145		23.80	74.57		-11.29	-11.82
01042016 0200		25.35	56.49		-11.70	-12.23
01042016 0215		25.35	56.50		-11.70	-12.23
01042016 0230		25.07	33.12		-11.70	-12.23
01042016 0245		24.81	32.79		-11.70	-12.23
01042016 0300		24.59	24.41		-11.84	-12.37
01042016 0315		23.99	23.82		-11.84	-12.37
01042016 0330		25.81	60.12		-12.82	-13.34
01042016 0345		24.75	57.71		-12.82	-13.34
01042016 0400		25.09	67.12		-13.37	-13.90
01042016 0415		24.46	65.49		-13.37	-13.90
01042016 0430		25.90	73.93		-14.07	-14.59
01042016 0445		24.66	70.48		-14.07	-14.59
01042016 0500		25.84	80.44		-14.34	-14.87
01042016 0515		25.14	78.33		-14.34	-14.87
01042016 0530		26.00	59.30		-14.90	-15.42
01042016 0545		25.57	58.33		-14.90	-15.42
01042016 0600		26.71	56.60		-15.45	-15.98
01042016 0615		25.47	54.03		-15.45	-15.98
01042016 0630		25.54	67.26		-15.59	-16.11
01042016 0645		25.03	65.94		-15.59	-16.11
01042016 0700		24.24	63.86		-15.45	-15.98
01042016 0715		24.54	64.64		-15.45	-15.98
01042016 0730		24.02	55.13		-15.45	-15.98
01042016 0745		24.24	55.62		-15.45	-15.98
01042016 0800		24.44	64.36		-15.45	-15.98
01042016 0815		24.44	64.37		-15.45	-15.98
01042016 0830		22.67	57.59		-14.76	-15.28
01042016 0845		22.37	56.85		-14.76	-15.28
01042016 0900		21.72	49.72		-14.76	-15.28
01042016 0915		22.01	50.36		-14.76	-15.28
01042016 0930		22.30	56.68		-14.76	-15.28
01042016 0945		21.76	55.34		-14.76	-15.28
01042016 1000		21.02	60.50		-14.48	-15.01
01042016 1015		21.92	62.96		-14.34	-14.87
01042016 1030		22.59	55.17		-14.01	-14.53
01042016 1045		22.91	55.83		-13.76	-14.28
01042016 1100		21.89	36.77		-13.53	-14.06
01042016 1115		21.80	36.69		-13.73	-14.26
01042016 1130		20.48	28.54		-13.42	-13.94
01042016 1145		20.75	35.30		-13.63	-14.16
01042016 1200		20.45	28.01		-13.47	-14.00
01042016 1215		20.38	30.50		-13.16	-13.68
01042016 1230		20.63	29.60		-13.27	-13.80
