Datum Uhrzeit	Tau	Vwind	Gh	Tin	Qin	Qauﬂen	Tobau	Tobin	QauﬂenAlu
01042016 0000	12.60	1.10	0.00	22.64	6.10	23.94	16.39	21.45	10.39
01042016 0015	12.60	1.10	0.00	22.61	6.02	22.73	16.34	21.46	9.58
01042016 0030	12.60	1.10	0.00	22.62	5.94	23.67	16.28	21.46	9.60
01042016 0045	12.60	1.10	0.00	22.58	5.88	29.87	15.91	21.48	14.53
01042016 0100	10.70	1.40	0.00	22.56	5.80	32.53	15.50	21.47	17.85
01042016 0115	10.70	1.40	0.00	22.56	5.67	39.59	15.03	21.47	23.58
01042016 0130	8.80	2.80	0.00	22.54	5.65	50.25	14.21	21.49	31.89
01042016 0145	8.80	2.80	0.00	22.52	5.41	45.29	13.71	21.48	28.40
01042016 0200	8.50	1.70	0.00	22.51	5.45	37.38	13.73	21.49	23.20
01042016 0215	8.50	1.70	0.00	22.51	5.33	37.81	13.73	21.49	21.25
01042016 0230	8.50	0.60	0.00	22.49	5.27	34.14	13.67	21.50	20.42
01042016 0245	8.50	0.60	0.00	22.47	5.17	34.13	13.62	21.50	18.89
01042016 0300	8.40	0.20	0.00	22.44	4.96	34.38	13.48	21.50	20.20
01042016 0315	8.40	0.20	0.00	22.41	4.88	32.13	13.36	21.49	18.37
01042016 0330	7.70	1.80	0.00	22.41	4.82	37.67	13.07	21.49	21.18
01042016 0345	7.70	1.80	0.00	22.40	4.65	36.64	12.85	21.49	21.69
01042016 0400	7.30	2.20	0.00	22.41	4.55	46.78	12.54	21.49	27.27
01042016 0415	7.30	2.20	0.00	22.38	4.56	38.08	12.42	21.48	23.06
01042016 0430	6.80	2.40	0.00	22.37	4.59	38.35	12.24	21.49	23.88
01042016 0445	6.80	2.40	0.00	22.36	4.45	45.16	11.98	21.50	27.08
01042016 0500	6.60	2.70	0.00	22.34	4.30	38.73	12.04	21.50	21.96
01042016 0515	6.60	2.70	0.00	22.33	4.24	37.05	11.89	21.49	21.39
01042016 0530	6.20	1.70	0.00	22.32	4.27	36.94	11.69	21.49	21.73
01042016 0545	6.20	1.70	0.00	22.33	4.17	36.28	11.60	21.49	20.55
01042016 0600	5.80	1.50	0.00	22.32	4.22	35.37	11.46	21.50	20.33
01042016 0615	5.80	1.50	0.00	22.32	4.15	41.94	11.20	21.51	24.32
01042016 0630	5.70	2.10	0.00	22.31	4.15	43.28	11.12	21.50	25.10
01042016 0645	5.70	2.10	0.00	22.29	4.03	38.71	11.02	21.49	22.02
01042016 0700	5.80	2.10	0.00	22.27	3.97	36.16	10.95	21.49	21.37
01042016 0715	5.80	2.10	0.00	22.27	3.90	36.90	11.01	21.49	20.75
01042016 0730	5.80	1.70	0.60	22.29	3.96	36.66	10.90	21.49	20.24
01042016 0745	5.80	1.70	0.60	22.31	3.99	32.34	10.95	21.50	17.77
01042016 0800	5.80	2.10	4.50	22.27	3.97	32.58	10.99	21.49	17.84
01042016 0815	5.80	2.10	4.50	22.26	3.94	33.81	10.99	21.49	19.84
01042016 0830	6.30	2.00	18.00	22.32	4.00	32.95	11.10	21.51	19.06
01042016 0845	6.30	2.00	18.00	22.33	4.08	36.94	11.04	21.50	21.20
01042016 0900	6.30	1.70	34.60	22.33	4.06	31.62	10.90	21.51	18.79
01042016 0915	6.30	1.70	34.60	22.31	4.01	31.48	10.96	21.51	17.79
